usaf,wban,usafwban,station_id,station_name,ct,st,call_1,lat,lon,elev,begin_date,end_date
997693,99999,997693-99999,99769399999,S CRANEY ISLAND,US,VA,,36.88,-76.33,3,20070101,20180425
993711,99999,993711-99999,99371199999,SEWELLS POINT  VA,US,VA,,36.95,-76.33,10,20070101,20180425
724033,99999,724033-99999,72403399999,SHANNON,US,VA,KEZF,38.267,-77.45,26,19941016,20071231
724033,3706,724033-3706,72403303706,SHANNON AIRPORT,US,VA,KEZF,38.267,-77.449,25.9,20060101,20181023
724105,99999,724105-99999,72410599999,SHENANDOAH VALLEY RG,US,VA,KSHD,38.267,-78.9,366,19730101,20071231
724105,93760,724105-93760,72410593760,SHENANDOAH VALLEY RGNL ART,US,VA,KSHD,38.264,-78.896,366.1,20060101,20181023
724049,99999,724049-99999,72404999999,SMITH POINT / SUNNYBANK,US,VA,,37.88,-76.18,1,19760130,19770110
720317,3735,720317-3735,72031703735,STAFFORD REGIONAL AIRPORT,US,VA,KRMN,38.398,-77.456,64.6,20060101,20181023
720317,99999,720317-99999,72031799999,STAFFORD RGNL,US,VA,KRMN,38.4,-77.45,64,20040525,20071231
999999,93734,999999-93734,99999993734,STERLING,US,VA,,38.983,-77.467,85,19620701,19651019
724007,99999,724007-99999,72400799999,SUFFOLK EXECUTIVE,US,VA,KSFQ,36.683,-76.6,22,19990114,20071231
724007,3719,724007-3719,72400703719,SUFFOLK MUNICIPAL AIRPORT,US,VA,KSFQ,36.682,-76.602,22,20050101,20181023
720501,155,720501-155,72050100155,TAPPAHANNOCK ESSEX COUNTY AIR,US,VA,KXSA,37.85,-76.883,41.2,20090101,20181023
A06800,120,A06800-120,A0680000120,TAZEWELL COUNTY AIRPORT,US,VA,KJFZ,37.067,-81.8,808,20180101,20181023
720264,63827,720264-63827,72026463827,TAZEWELL COUNTY AIRPORT,US,VA,K6V3,37.064,-81.798,808.3,20060101,20130430
720264,99999,720264-99999,72026499999,TAZEWELL COUNTY ARPT,US,VA,KJFZ,37.067,-81.8,808,20040525,20071231
724107,99999,724107-99999,72410799999,TWIN COUNTY,US,VA,KHLX,36.767,-80.817,821,19950101,20071231
724107,53895,724107-53895,72410753895,TWIN COUNTY AIRPORT,US,VA,KHLX,36.766,-80.823,820.8,20060101,20181023
999999,13742,999999-13742,99999913742,URBANNA,US,VA,,37.633,-76.567,9.1,19480101,19510331
997786,99999,997786-99999,99778699999,VIMS PIER,US,VA,,37.25,-76.5,5,20070101,20081231
724058,99999,724058-99999,72405899999,VIRGINIA HIGHLANDS,US,VA,KVJI,36.683,-82.033,636,19840607,20071231
724058,53818,724058-53818,72405853818,VIRGINIA HIGHLANDS AIRPORT,US,VA,KVJI,36.683,-82.033,630.9,20060101,20181023
724113,53881,724113-53881,72411353881,VIRGINIA TECH AIRPORT,US,VA,KBCB,37.208,-80.408,649.8,20060101,20181023
724113,99999,724113-99999,72411399999,VIRGINIA TECH ARPT,US,VA,KBCB,37.208,-80.408,650,19941016,20071231
997313,99999,997313-99999,99731399999,WACHAPREAGUE,US,VA,,37.6,-75.68,10,20070603,20180425
724019,99999,724019-99999,72401999999,WAKEFIELD MUNI,US,VA,KAKQ,36.983,-77,34,19971210,20071231
724019,93773,724019-93773,72401993773,WAKEFIELD MUNICIPAL ARPT,US,VA,KAKQ,36.984,-77.007,33.2,20060101,20181023
724020,93739,724020-93739,72402093739,WALLOPS FLIGHT FACILITY AIRPO,US,VA,KWAL,37.937,-75.466,14,19730101,20181023
724020,99999,724020-99999,72402099999,WALLOPS ISL STN,US,VA,KWAL,37.933,-75.483,12,19800101,19850311
724024,93739,724024-93739,72402493739,WALLOPS ISLAND UAU,US,VA,KWAL,37.937,-75.471,14.6,19791231,19910228
999999,93739,999999-93739,99999993739,WALLOPS ISLAND UAU,US,VA,KWAL,37.937,-75.471,14.6,19661001,19721231
722692,99999,722692-99999,72269299999,WARRENTON,US,VA,KHWY,38.583,-77.717,102.7,20080115,20180515
722692,367,722692-367,72269200367,WARRENTON FAUQUIER AIRPORT,US,VA,KHWY,38.586,-77.711,103,20090101,20181023
999999,13743,999999-13743,99999913743,WASHINGTON D C WASHNGTN-HOOVE,US,VA,KDCA,38.848,-77.034,19.8,19700101,19721231
724030,93738,724030-93738,72403093738,WASHINGTON DULLES INTERNATION,US,VA,KIAD,38.935,-77.447,88.4,19730101,20181023
724025,99999,724025-99999,72402599999,WEIRWOOD / KELLAM FIELD,US,VA,,37.47,-75.88,12,19850814,19870813
720297,99999,720297-99999,72029799999,WILLIAMSBURG,US,VA,KJGG,37.233,-76.717,15,20040525,20071231
720297,3730,720297-3730,72029703730,WILLIAMSBURG-JAMESTOWN APT,US,VA,KJGG,37.239,-76.716,14.9,20060101,20181023
998245,99999,998245-99999,99824599999,WILLOUGHBY DEGUASSING STATION,US,VA,,36.983,-76.317,3,20081114,20180425
724053,3717,724053-3717,72405303717,WINCHESTER REGIONAL ARPT,US,VA,KOKV,39.143,-78.144,221.6,20060101,20181023
724053,99999,724053-99999,72405399999,WINCHESTER RGNL,US,VA,KOKV,39.15,-78.15,222,19950101,20071231
997708,99999,997708-99999,99770899999,YORK RIVER E RANGE,US,VA,,37.25,-76.33,10,20070101,20180425
997315,99999,997315-99999,99731599999,YORKTOWN  VA,US,VA,,37.22,-76.48,10,20070101,20180425
